Zip_Code,Customer_State,Order_Source,Total_Order_Amount,Average_Order_Amount,Unique_Orders
72081,AR,Fax                                                                                                 ,13433.68,1221.243636,11
77036,TX,Fax                                                                                                 ,14607.63,1327.966363,11
72209,AR,Fax                                                                                                 ,7531.98,1255.330000,6
72143,AR,Fax                                                                                                 ,17660.64,1261.474285,14
76903,TX,Fax                                                                                                 ,10521.33,1315.166250,8
72701,AR,Fax                                                                                                 ,11215.06,1246.117777,9
72823,AR,Fax                                                                                                 ,20481.82,1280.113750,16
72126,AR,Fax                                                                                                 ,14450.69,1313.699090,11
75020,TX,Fax                                                                                                 ,14823.32,1347.574545,11
77303,TX,Fax                                                                                                 ,13295.82,1329.582000,10
76014,TX,Fax                                                                                                 ,31011.75,1348.336956,23
75235,TX,Fax                                                                                                 ,11598.50,1288.722222,9
77318,TX,Fax                                                                                                 ,11807.05,1180.705000,10
75042,TX,Fax                                                                                                 ,12682.42,1268.242000,10
75023,TX,Fax                                                                                                 ,10231.78,1136.864444,9
76034,TX,Fax                                                                                                 ,26678.52,1270.405714,21
75214,TX,Fax                                                                                                 ,5461.58,1365.395000,4
78557,TX,Fax                                                                                                 ,16031.44,1335.953333,12
78207,TX,Fax                                                                                                 ,10715.60,1339.450000,8
78539,TX,Fax                                                                                                 ,8411.24,1401.873333,6
75220,TX,Fax                                                                                                 ,16084.44,1237.264615,13
75098,TX,Fax                                                                                                 ,9026.66,1289.522857,7
76543,TX,Fax                                                                                                 ,9978.24,1247.280000,8
79413,TX,Fax                                                                                                 ,14187.20,1289.745454,11
75401,TX,Fax                                                                                                 ,9454.42,1181.802500,8
78566,TX,Fax                                                                                                 ,5461.68,1365.420000,4
78756,TX,Fax                                                                                                 ,13390.39,1339.039000,10
78577,TX,Fax                                                                                                 ,13315.59,1210.508181,11
75662,TX,Fax                                                                                                 ,4541.12,1513.706666,3
78578,TX,Fax                                                                                                 ,9460.60,1182.575000,8
77373,TX,Fax                                                                                                 ,9448.54,1349.791428,7
78840,TX,Fax                                                                                                 ,18484.03,1421.848461,13
76106,TX,Fax                                                                                                 ,12742.46,1274.246000,10
79905,TX,Fax                                                                                                 ,9543.53,1363.361428,7
78520,TX,Fax                                                                                                 ,10839.48,1354.935000,8
79935,TX,Fax                                                                                                 ,15163.77,1378.524545,11
77085,TX,Fax                                                                                                 ,15764.37,1313.697500,12
77327,TX,Fax                                                                                                 ,11525.92,1280.657777,9
77520,TX,Fax                                                                                                 ,11453.14,1431.642500,8
77807,TX,Fax                                                                                                 ,17369.95,1240.710714,14
78028,TX,Fax                                                                                                 ,12686.47,1268.647000,10
78589,TX,Fax                                                                                                 ,10352.18,1294.022500,8
79924,TX,Fax                                                                                                 ,15680.76,1306.730000,12
72143,AR,Phone                                                                                               ,6841.30,1140.216666,6
75042,TX,Phone                                                                                               ,13720.38,1247.307272,11
76034,TX,Phone                                                                                               ,16976.14,1212.581428,14
72126,AR,Phone                                                                                               ,11119.03,1235.447777,9
75020,TX,Phone                                                                                               ,8834.86,1262.122857,7
72701,AR,Phone                                                                                               ,12257.63,1225.763000,10
75023,TX,Phone                                                                                               ,15237.58,1385.234545,11
72081,AR,Phone                                                                                               ,7105.40,1184.233333,6
77085,TX,Phone                                                                                               ,5136.35,1284.087500,4
76543,TX,Phone                                                                                               ,12377.91,1237.791000,10
76106,TX,Phone                                                                                               ,11868.13,1318.681111,9
72209,AR,Phone                                                                                               ,9483.57,1354.795714,7
77303,TX,Phone                                                                                               ,6079.50,1215.900000,5
75098,TX,Phone                                                                                               ,12039.60,1337.733333,9
75401,TX,Phone                                                                                               ,5355.74,1338.935000,4
72823,AR,Phone                                                                                               ,11737.13,1304.125555,9
78840,TX,Phone                                                                                               ,12061.49,1340.165555,9
76903,TX,Phone                                                                                               ,10043.84,1255.480000,8
77520,TX,Phone                                                                                               ,4941.10,1235.275000,4
75235,TX,Phone                                                                                               ,14555.78,1323.252727,11
77373,TX,Phone                                                                                               ,9302.95,1328.992857,7
77327,TX,Phone                                                                                               ,12274.44,1363.826666,9
78577,TX,Phone                                                                                               ,14968.36,1247.363333,12
75214,TX,Phone                                                                                               ,19329.36,1208.085000,16
78557,TX,Phone                                                                                               ,13773.48,1377.348000,10
77318,TX,Phone                                                                                               ,8954.47,1279.210000,7
78566,TX,Phone                                                                                               ,13210.48,1321.048000,10
76014,TX,Phone                                                                                               ,26612.92,1330.646000,20
78756,TX,Phone                                                                                               ,4778.33,1194.582500,4
78028,TX,Phone                                                                                               ,13174.62,1317.462000,10
79413,TX,Phone                                                                                               ,12459.33,1384.370000,9
75220,TX,Phone                                                                                               ,8158.87,1165.552857,7
78207,TX,Phone                                                                                               ,11321.79,1415.223750,8
77807,TX,Phone                                                                                               ,11023.35,1377.918750,8
78578,TX,Phone                                                                                               ,24776.16,1304.008421,19
75662,TX,Phone                                                                                               ,7725.52,1103.645714,7
78520,TX,Phone                                                                                               ,16640.16,1386.680000,12
78589,TX,Phone                                                                                               ,13039.79,1303.979000,10
79905,TX,Phone                                                                                               ,11265.22,1408.152500,8
77036,TX,Phone                                                                                               ,6120.62,1224.124000,5
78539,TX,Phone                                                                                               ,12653.54,1405.948888,9
79924,TX,Phone                                                                                               ,13896.84,1263.349090,11
79935,TX,Phone                                                                                               ,11449.83,1431.228750,8
72143,AR,Web                                                                                                 ,8805.51,1467.585000,6
72209,AR,Web                                                                                                 ,9527.17,1361.024285,7
75020,TX,Web                                                                                                 ,13308.26,1330.826000,10
75023,TX,Web                                                                                                 ,12572.47,1257.247000,10
72081,AR,Web                                                                                                 ,11543.09,1282.565555,9
72126,AR,Web                                                                                                 ,14235.04,1294.094545,11
72823,AR,Web                                                                                                 ,14035.39,1275.944545,11
72701,AR,Web                                                                                                 ,9821.77,1403.110000,7
75214,TX,Web                                                                                                 ,4901.57,1225.392500,4
75235,TX,Web                                                                                                 ,15266.56,1272.213333,12
75401,TX,Web                                                                                                 ,4729.62,1182.405000,4
75042,TX,Web                                                                                                 ,11492.37,1276.930000,9
75220,TX,Web                                                                                                 ,9463.26,1351.894285,7
75098,TX,Web                                                                                                 ,11981.99,1331.332222,9
77373,TX,Web                                                                                                 ,4983.10,1245.775000,4
77327,TX,Web                                                                                                 ,15762.78,1313.565000,12
77085,TX,Web                                                                                                 ,8903.75,1271.964285,7
76014,TX,Web                                                                                                 ,30571.14,1389.597272,22
76034,TX,Web                                                                                                 ,26081.71,1241.986190,21
76543,TX,Web                                                                                                 ,12366.26,1374.028888,9
77303,TX,Web                                                                                                 ,13384.61,1338.461000,10
